Chemical,Exposure,Endpoint,RfC
Benzene,chronic,immunological,9.379080784
Benzene,chronic,hematological,256.3615414
Benzene,chronic,developmental,9.973089233
Benzene,chronic,reproductive,29.9505313
Benzene,chronic,respiratory,330
Benzene,chronic,renal,3300
Benzene,chronic,ocular,330
Benzene,acute,immunological,863
Benzene,acute,respiratory,600
Benzene,acute,hematological,600
Benzene,acute,dermal,600
Benzene,acute,cardiological,3526
Benzene,acute,hepatic,470
Benzene,acute,neurological,600
Benzene,acute,reproductive,1000
Benzene,acute,developmental,100
Toluene,chronic,neurological,1325.157369
Toluene,chronic,renal,2400
Toluene,chronic,developmental,5000
Toluene,chronic,hematological,410
Toluene,chronic,respiratory,1860
Toluene,chronic,cardiovascular,2400
Toluene,chronic,hepatic,2400
Toluene,chronic,gastrointestinal,12000
Toluene,chronic,immunological,410
Toluene,chronic,reproductive,2400
Toluene,acute,neurological,4000
Toluene,acute,respiratory,4000
Toluene,acute,ocular,4000
Toluene,acute,cardiological,18620
Toluene,acute,hepatic,18620
Toluene,acute,hematological,2000
Toluene,acute,immunological,10
Toluene,acute,reproductive,500
Toluene,acute,developmental,1330
Ethylbenzene,chronic,developmental,230.0149764
Ethylbenzene,chronic,neurological,26100
Ethylbenzene,chronic,renal,7820
Ethylbenzene,chronic,hepatic,2500
Ethylbenzene,acute,neurological,26100
Ethylbenzene,acute,hepatic,50
Ethylbenzene,acute,renal,4000
Ethylbenzene,acute,ocular,4000
Ethylbenzene,acute,respiratory,1432
Xylenes,chronic,neurological,23.00301432
Xylenes,chronic,respiratory,140
Xylenes,chronic,gastrointestinal,140
Xylenes,chronic,ocular,140
Xylenes,chronic,hematological,1400
Xylenes,chronic,hepatic,1400
Xylenes,chronic,renal,1400
Xylenes,acute,respiratory,46000
Xylenes,acute,ocular,23000
Xylenes,acute,cardiological,10000
Xylenes,acute,hematological,10000
Xylenes,acute,renal,10000
Xylenes,acute,hepatic,7000
Xylenes,acute,neurological,6000
Xylenes,acute,reproductive,775
Xylenes,acute,developmental,350
n-octane,chronic,neurological,85.51168695
n-octane,chronic,developmental,30000
n-octane,chronic,reproductive,90000
n-octane,acute,neurological,140
n-nonane,chronic,neurological,3.809672387
n-nonane,chronic,developmental,30000
n-nonane,chronic,reproductive,90000
n-nonane,acute,neurological,24.14
n-decane,chronic,neurological,8600
n-decane,chronic,developmental,9000
n-decane,chronic,reproductive,9000
Ozone,chronic,respiratory,2.5
Ozone,chronic,cardiovascular,2.5
Ozone,chronic,reproductive,5
Ozone,chronic,developmental,4
Ozone,chronic,neurological,25
Ozone,acute,cardiovascular,3
Ozone,acute,respiratory,6
Ozone,acute,hepatic,2.5
Ozone,acute,neurological,3
