Sample ID,Sampling Site,Start Date Time,Stop Date Time,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cycopentane,i-Pentane,n-Pentane,trans-2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
SS-6.0-12_CCOB_COMMONS_01_IMPACT_20181004_20181011,CCOB_COMMONS_01_IMPACT,2018-10-04,2018-10-11,9.972,0.644,5.454,0.109,0.923,2.437,0.39,0.01,0.008,0.006,0.059,0.78,0.78,0.004,0.018,0.007,0.277,0.007,0.012,0.087,0.113,0.086,0.048,0.025,0.054,0.045,0.079,0.011,0.172,0.014,0.012,0.052,0.022,0.097,0.008,0.031,0.024,0.009,0.012,0.012,0.015,0.005,0.009,0.017,0.013,0.078,0.011,0.007,0.012,0.002,1923
SS-6.0-29_CCOB_COMMONS_01_IMPACT_20181011_20181018,CCOB_COMMONS_01_IMPACT,2018-10-11,2018-10-18,12.991,1.549,4.691,0.271,0.95,2.248,0.932,0.02,0.044,0.019,0.062,0.914,0.735,0.011,0.018,0.007,0.303,0.02,0.012,0.092,0.218,0.096,0.081,0.041,0.077,0.092,0.071,0.011,0.386,0.031,0.031,0.069,0.057,0.23,0.008,0.076,0.024,0.009,0.012,0.024,0.015,0.005,0.009,0.034,0.013,0.078,0.011,0.007,0.019,0.004,2348
SS-6.0-16_CCOB_COMMONS_01_IMPACT_20181018_20181025,CCOB_COMMONS_01_IMPACT,2018-10-18,2018-10-25,12.985,1.194,5.364,0.219,1.053,2.561,0.681,0.015,0.036,0.016,0.07,1.003,0.844,0.004,0.018,0.007,0.348,0.026,0.032,0.112,0.193,0.108,0.091,0.055,0.062,0.096,0.079,0.011,0.425,0.031,0.017,0.066,0.055,0.216,0.008,0.075,0.032,0.009,0.012,0.026,0.015,0.005,0.009,0.04,0.028,0.078,0.011,0.007,0.022,0.004,2069
SS-6.0-24_CCOB_COMMONS_01_IMPACT_20181025_20181101,CCOB_COMMONS_01_IMPACT,2018-10-25,2018-11-01,6.829,0.806,2.347,0.144,0.556,1.267,0.478,0.012,0.024,0.006,0.039,0.515,0.388,0.004,0.018,0.007,0.175,0.013,0.012,0.051,0.23,0.049,0.047,0.033,0.042,0.057,0.043,0.011,0.227,0.014,0.015,0.039,0.037,0.129,0.008,0.043,0.023,0.009,0.012,0.016,0.015,0.005,0.009,0.023,0.013,0.078,0.011,0.007,0.013,0.002,1993
SS-6.0-39_CCOB_COMMONS_01_IMPACT_20181025_20181101,CCOB_COMMONS_01_IMPACT,2018-11-01,2018-11-01,8.066,0.726,3.471,0.116,0.66,1.681,0.501,0.015,0.017,0.006,0.04,0.523,0.481,0.004,0.018,0.007,0.183,0.002,0.012,0.055,0.12,0.054,0.016,0.015,0.038,0.03,0.049,0.011,0.165,0.014,NA,0.041,0.022,0.091,0.008,0.029,0.011,0.009,0.012,0.01,0.015,0.005,0.009,0.016,0.013,0.078,0.011,0.015,0.01,0.002,2120
SS-6.0-30_CCOB_COMMONS_01_IMPACT_20181108-20181115,CCOB_COMMONS_01_IMPACT,2018-11-08,2018-11-15,12.674,1.62,4.777,0.27,0.977,2.373,1.001,0.025,0.035,0.018,0.056,0.83,0.668,0.008,0.018,0.007,0.279,0.011,0.012,0.095,0.178,0.068,0.066,0.039,0.069,0.082,0.072,0.011,0.348,0.029,0.024,0.061,0.05,0.201,0.008,0.063,0.028,0.009,0.012,0.023,0.015,0.005,0.009,0.037,0.013,0.078,0.011,0.007,0.024,0.003,2157
SS-6.0-17_CCOB_COMMONS_01_IMPACT_20181115_20181122,CCOB_COMMONS_01_IMPACT,2018-11-15,2018-11-22,19.626,2.259,7.196,0.395,1.5,3.614,1.374,0.014,0.054,0.028,0.083,1.222,1.049,0.004,0.018,0.007,0.434,0.009,0.037,0.126,0.293,0.111,0.105,0.065,0.113,0.127,0.111,0.024,0.475,0.036,0.028,0.069,0.061,0.165,0.008,0.061,0.011,0.009,0.012,0.011,0.015,0.005,0.009,0.005,0.013,0.078,0.011,0.007,0.028,0.006,2055
SS-6.0-46_CCOB_COMMONS_01_IMPACT_20181122_20181129,CCOB_COMMONS_01_IMPACT,2018-11-22,2018-11-29,10.286,1.013,3.932,0.174,0.792,1.881,0.683,0.016,0.027,0.014,0.048,0.587,0.519,0.004,0.018,0.007,0.202,0.002,0.012,0.066,0.146,0.019,0.047,0.029,0.048,0.039,0.056,0.011,0.2,0.014,0.018,0.039,0.029,0.113,0.008,0.033,0.011,0.009,0.012,0.011,0.015,0.005,0.009,0.018,0.013,0.078,0.011,0.007,0.014,0.002,2034
SS-6.0-29_CCOB_COMMONS_01_IMPACT_20181129_20181206,CCOB_COMMONS_01_IMPACT,2018-11-29,2018-12-06,17.318,1.675,6.999,0.267,1.338,3.414,1.088,0.025,0.047,0.018,0.076,1.018,0.936,0.004,0.018,0.007,0.39,0.012,0.027,0.095,0.206,0.097,0.077,0.054,0.079,0.074,0.092,0.011,0.334,0.031,0.024,0.063,0.045,0.18,0.008,0.058,0.033,0.009,0.012,0.019,0.015,0.005,0.009,0.026,0.013,0.078,0.011,0.007,0.017,0.004,2111
SS-6.0-23_CCOB_COMMONS_01_IMPACT_20181206_20181213,CCOB_COMMONS_01_IMPACT,2018-12-06,2018-12-13,21.71,2.364,7.498,0.457,1.72,4.105,1.476,0.046,0.067,0.034,0.086,1.235,1.044,0.012,0.018,0.007,0.472,0.011,0.04,0.135,0.267,0.131,0.107,0.062,0.134,0.118,0.116,0.011,0.523,0.039,0.028,0.084,0.076,0.269,0.008,0.092,0.048,0.009,0.012,0.03,0.015,0.012,0.009,0.05,0.042,0.078,0.011,0.007,0.028,0.005,2090
