Sample ID,Sampling Site,Start Date Time,Stop Date Time,Phase,Mud,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cycopentane,i-Pentane,n-Pentane,trans-2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
SS_6.0_53_CCOB_INTERCHANGE_01_OG_20220113_20220120,CCOB_INTERCHANGE_01_OG,2022-01-13,2022-01-20,drilling,neoflow,18.68,1.585,10.236,0.271,1.935,5.216,1.077,0.026,0.043,0.02,0.143,1.648,1.711,0.004,0.018,0.007,0.81,0.01,0.046,0.39,0.259,0.274,0.172,0.08,0.12,0.113,0.374,0.028,0.622,0.105,0.07,0.26,0.06,0.29,0.017,0.133,0.198,0.009,0.012,0.056,0.015,0.029,0.023,0.1,0.672,0.078,0.011,0.019,0.005,0.038,2114
SS_6.0_23_CCOB_INTERCHANGE_01_OG_20220120_20220127,CCOB_INTERCHANGE_01_OG,2022-01-20,2022-01-27,drilling,neoflow,15.548,1.568,7.637,0.27,1.445,3.73,1.031,0.031,0.041,0.025,0.11,1.208,1.244,0.004,0.018,0.007,0.599,0.014,0.033,0.3,0.241,0.216,0.137,0.066,0.122,0.102,0.285,0.011,0.652,0.091,0.057,0.204,0.064,0.235,0.008,0.092,0.135,0.009,0.012,0.04,0.015,0.02,0.009,0.069,0.512,0.078,0.011,0.007,0.004,0.021,2091
SS_6.0_57_CCOB_INTERCHANGE_01_OG_20220127_20220203,CCOB_INTERCHANGE_01_OG,2022-01-27,2022-02-03,drilling,neoflow,14.042,1.364,6.389,0.203,1.087,3.027,0.969,0.015,0.034,0.006,0.082,0.968,0.975,0.004,0.018,0.007,0.471,0.013,0.03,0.241,0.2,0.171,0.104,0.046,0.098,0.075,0.224,0.011,0.51,0.066,0.037,0.15,0.077,0.272,0.008,0.1,0.132,0.009,0.012,0.031,0.015,0.014,0.009,0.048,0.31,0.078,0.011,0.007,0.003,0.014,2038
SS_6.0_01_CCOB_INTERCHANGE_01_OG_20220203_20220210,CCOB_INTERCHANGE_01_OG,2022-02-03,2022-02-10,drilling,neoflow,18.384,1.39,9.784,0.235,1.687,4.788,1.037,0.025,0.04,0.021,0.157,1.549,1.879,0.004,0.018,0.007,0.934,0.008,0.043,0.472,0.309,0.341,0.191,0.086,0.147,0.112,0.443,0.011,0.709,0.116,0.073,0.274,0.05,0.273,0.008,0.105,0.198,0.009,0.012,0.04,0.015,0.02,0.009,0.068,0.708,0.078,0.011,0.007,0.004,0.018,2072
SS_6.0_51_CCOB_INTERCHANGE_01_OG_20220210_20220217,CCOB_INTERCHANGE_01_OG,2022-02-10,2022-02-17,drilling,neoflow,14.742,1.173,6.895,0.19,1.281,3.485,0.885,0.025,0.028,0.019,0.088,1.15,1.173,0.004,0.018,0.007,0.528,0.004,0.037,0.243,0.229,0.175,0.108,0.051,0.082,0.089,0.257,0.011,0.433,0.071,0.049,0.195,0.068,0.201,0.008,0.074,0.197,0.009,0.012,0.031,0.015,0.017,0.009,0.053,0.738,0.078,0.011,0.007,0.003,0.023,2062
SS_6.0_32_CCOB_INTERCHANGE_01_OG_20220217_20220224,CCOB_INTERCHANGE_01_OG,2022-02-17,2022-02-24,drilling,neoflow,12.43,0.83,5.752,0.128,0.909,2.379,0.637,0.009,0.018,0.006,0.063,0.732,0.761,0.004,0.018,0.007,0.337,0.002,0.012,0.152,0.195,0.117,0.069,0.04,0.053,0.037,0.153,0.011,0.266,0.041,0.027,0.095,0.021,0.118,0.008,0.034,0.068,0.009,0.012,0.019,0.015,0.011,0.009,0.03,0.179,0.078,0.011,0.007,0.002,0.011,2027
SS_6.0_25_CCOB_INTERCHANGE_01_OG_20220224_20220303,CCOB_INTERCHANGE_01_OG,2022-02-24,2022-03-03,drilling,neoflow,24.43,1.624,9.327,0.231,1.582,4.152,1.153,0.025,0.036,0.017,0.117,1.313,1.332,0.004,0.018,0.007,0.671,0.016,0.031,0.337,0.295,0.25,0.157,0.069,0.141,0.11,0.335,0.011,0.599,0.094,0.051,0.222,0.06,0.252,0.008,0.087,0.132,0.009,0.012,0.04,0.015,0.02,0.009,0.056,0.304,0.078,0.011,0.007,0.002,0.039,2139
SS_6.0_55_CCOB_INTERCHANGE_01_OG_20220303_20220310,CCOB_INTERCHANGE_01_OG,2022-03-03,2022-03-10,drilling,neoflow,10.325,0.626,5.299,0.113,0.859,2.248,0.592,0.008,0.017,0.006,0.063,0.678,0.684,0.004,0.018,0.007,0.263,0.002,0.012,0.102,0.156,0.103,0.055,0.041,0.044,0.025,0.091,0.011,0.322,0.038,0.014,0.067,0.028,0.25,0.023,0.119,0.081,0.009,0.012,0.021,0.015,0.012,0.009,0.043,0.263,0.078,0.011,0.007,0.028,0.012,2074
SS_6.0_50_CCOB_INTERCHANGE_01_OG_20220310_20220317,CCOB_INTERCHANGE_01_OG,2022-03-10,2022-03-17,drilling,neoflow,17.264,0.885,7.838,0.156,1.261,3.299,0.668,0.013,0.027,0.006,0.085,0.988,1.053,0.004,0.018,0.007,0.474,0.002,0.027,0.216,0.183,0.16,0.091,0.062,0.074,0.049,0.227,0.011,0.346,0.062,0.044,0.161,0.039,0.211,0.008,0.127,0.186,0.009,0.012,0.028,0.015,0.017,0.009,0.055,0.819,0.078,0.011,0.007,0.004,0.031,2059
SS_6.0_39_CCOB_INTERCHANGE_01_OG_20220317_20220324,CCOB_INTERCHANGE_01_OG,2022-03-17,2022-03-24,drilling,neoflow,10.803,0.654,4.624,0.153,0.808,2.168,0.549,0.013,0.028,0.006,0.075,0.727,0.778,0.004,0.018,0.007,0.406,0.002,0.012,0.227,0.141,0.151,0.088,0.033,0.065,0.052,0.25,0.011,0.299,0.066,0.039,0.174,0.043,0.195,0.008,0.074,0.163,0.009,0.012,0.021,0.015,0.018,0.009,0.041,0.542,0.078,0.011,0.007,0.004,0.019,2017
