Sample ID,Sampling Site,Start Date Time,Stop Date Time,Phase,Mud,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cycopentane,i-Pentane,n-Pentane,trans-2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
SS-6.0-22_CCOB_INTERCHANGE_02_OG_20190425_20190502,CCOB_INTERCHANGE_02_OG,2019-04-25,2019-05-02,drilling,gibson,20.186,0.542,10.811,0.146,1.757,4.95,0.331,0.007,0.023,0.006,0.161,1.59,1.801,0.004,0.018,0.007,0.919,0.002,0.042,0.515,0.206,0.408,0.203,0.077,0.177,0.126,0.69,0.011,0.435,0.18,0.103,0.41,0.06,0.388,NA,0.131,0.308,0.043,0.029,0.171,0.031,0.044,0.051,0.139,0.393,0.078,0.029,NA,0.009,0.004,1910
SS-6.0-17_CCOB_INTERCHANGE_01_OG_20190425_20190502,CCOB_INTERCHANGE_01_OG,2019-04-25,2019-05-02,drilling,gibson,12.926,0.53,6.585,0.142,1.035,2.868,0.359,0.007,0.024,0.006,0.085,0.903,0.961,0.004,0.018,0.007,0.419,0.005,0.012,0.195,0.158,0.146,0.077,0.035,0.094,0.053,0.23,0.011,0.219,0.064,0.029,0.13,0.033,0.126,NA,0.044,0.042,0.009,0.012,0.032,0.015,0.005,0.009,0.017,0.013,0.078,0.011,NA,0.009,0.003,1942
SS-6.0-10_CCOB_INTERCHANGE_02_OG_20190502_20190509,CCOB_INTERCHANGE_02_OG,2019-05-02,2019-05-09,drilling,gibson,14.469,0.333,6.594,0.078,1.004,2.898,0.303,0.003,0.008,0.006,0.102,0.923,1.092,0.004,0.018,0.007,0.54,0.005,0.029,0.314,0.131,0.233,0.125,0.059,0.084,0.083,0.337,0.011,0.308,0.113,0.04,0.223,0.043,0.221,NA,0.075,0.14,0.009,0.012,0.07,0.015,0.023,0.023,NA,0.158,0.078,0.011,NA,0.01,0.002,1983
SS-6.0-42_CCOB_INTERCHANGE_01_OG_20190502_20190509,CCOB_INTERCHANGE_01_OG,2019-05-02,2019-05-09,drilling,gibson,10.841,0.418,5.661,0.112,0.895,2.542,0.315,0.003,0.02,0.006,0.085,0.8,0.934,0.004,0.018,0.007,0.444,0.004,0.012,0.222,0.108,0.166,0.072,0.03,0.073,0.033,0.218,0.011,0.213,0.061,0.042,0.16,0.03,0.139,NA,0.042,0.099,0.009,0.012,0.046,0.015,0.018,0.019,0.12,0.107,0.078,0.011,NA,0.008,0.002,1971
SS-6.0-35_CCOB_INTERCHANGE_02_OG_20190509_20190516,CCOB_INTERCHANGE_02_OG,2019-05-09,2019-05-16,drilling,gibson,9.54,0.725,4.425,0.183,0.825,2.268,0.545,0.011,0.066,0.014,0.083,0.935,0.905,0.004,0.018,0.007,0.488,0.007,0.012,0.261,0.174,0.15,0.088,0.048,0.094,0.087,0.313,0.011,0.409,0.089,0.064,0.214,0.061,0.278,NA,0.089,0.135,0.009,0.012,0.072,0.015,0.005,0.009,NA,0.123,0.078,0.011,NA,0.012,0.002,1914
SS-6.0-32_CCOB_INTERCHANGE_01_OG_20190509_20190516,CCOB_INTERCHANGE_01_OG,2019-05-09,2019-05-16,drilling,gibson,18.334,0.661,8.858,0.165,1.499,4.108,0.531,0.016,0.041,0.015,0.144,1.459,1.585,0.004,0.018,0.007,0.883,0.002,0.038,0.578,0.223,0.365,0.169,0.063,0.155,0.141,0.674,0.011,0.564,0.207,0.148,0.5,0.087,0.441,NA,0.155,0.319,0.044,0.049,0.157,0.037,0.039,0.057,NA,0.291,0.078,0.011,NA,0.014,0.002,2026
SS-6.0-23_CCOB_INTERCHANGE_02_OG_20190516_20190523,CCOB_INTERCHANGE_02_OG,2019-05-16,2019-05-23,drilling,gibson,15.705,0.469,9.035,0.105,1.513,4.556,0.277,0.008,0.02,0.006,0.171,1.467,1.857,0.004,0.018,0.007,1.006,0.002,0.036,0.468,0.21,0.385,0.188,0.068,0.172,0.112,0.489,0.011,0.445,0.142,0.091,0.328,0.045,0.261,NA,0.092,0.169,0.009,0.025,0.073,0.015,0.013,0.026,NA,0.14,0.078,0.011,NA,0.012,0.002,1947
SS-6.0-31_CCOB_INTERCHANGE_01_OG_20190516_20190523,CCOB_INTERCHANGE_01_OG,2019-05-16,2019-05-23,drilling,gibson,12.524,0.488,6.944,0.123,1.154,3.394,0.31,0.007,0.019,0.006,0.118,1.073,1.301,0.004,0.018,0.007,0.626,0.002,0.012,0.269,0.154,0.192,0.104,0.049,0.076,0.077,0.274,0.011,0.28,0.08,0.049,0.196,0.034,0.166,NA,0.055,0.103,0.009,0.012,0.047,0.015,0.005,0.009,NA,0.091,0.078,0.011,NA,0.009,0.002,2043
SS-6.0-17_CCOB_INTERCHANGE_01_OG_20190523_20190530,CCOB_INTERCHANGE_01_OG,2019-05-23,2019-05-30,drilling,gibson,21.127,0.511,11.754,0.131,1.863,5.286,0.317,0.006,0.027,0.012,0.184,1.657,2.043,0.004,0.018,0.007,1.135,0.002,0.047,0.582,0.277,0.48,0.211,0.082,0.168,0.139,0.68,0.011,0.495,0.183,0.106,0.357,0.059,0.237,NA,0.084,0.078,0.009,0.012,0.032,0.015,NA,0.009,NA,0.013,0.078,0.011,NA,0.021,0.002,1956
SS-6.0-40_CCOB_INTERCHANGE_02_OG_20190530_20190606,CCOB_INTERCHANGE_02_OG,2019-05-30,2019-06-06,drilling,gibson,9.941,0.603,5.718,0.135,0.93,2.554,0.378,0.013,0.03,0.006,0.089,1.018,1.02,0.004,0.018,0.007,0.488,0.008,0.028,0.259,0.176,0.09,0.071,0.037,0.313,0.074,0.288,0.011,0.434,0.09,0.039,0.214,0.055,0.219,NA,0.076,0.132,0.009,0.012,0.059,0.015,0.005,0.023,NA,0.097,0.078,0.011,NA,0.017,0.002,1925
