Sample ID,Sampling Site,Start Date Time,Stop Date Time,Phase,Mud,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cycopentane,i-Pentane,n-Pentane,trans-2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
SS-6.0-29_CCOB_LIVINGSTON_02_OG_20190711_20190718,CCOB_LIVINGSTON_02_OG,2019-07-11,2019-07-18,drilling,neoflow,17.098,0.598,8.806,0.169,1.409,3.909,0.3,0.012,0.033,0.006,0.118,1.389,1.512,0.004,0.018,0.007,0.759,0.114,0.038,0.377,0.171,0.269,0.146,0.07,0.199,0.086,0.361,0.011,0.4,0.15,0.107,0.432,0.04,0.181,NA,0.064,0.646,0.033,0.012,NA,NA,NA,NA,NA,0.831,NA,NA,NA,0.018,0.003,1867
SS-6.0-22_CCOB_LIVINGSTON_01_OG_20190711_20190718,CCOB_LIVINGSTON_01_OG,2019-07-11,2019-07-18,drilling,neoflow,9.166,0.44,5.432,0.104,0.964,2.749,0.27,0.011,0.028,0.006,0.107,1.158,1.227,0.004,0.018,0.007,0.691,0.123,0.031,0.389,0.193,0.282,0.139,0.066,0.173,0.087,0.413,0.011,0.462,0.159,0.118,0.464,0.048,0.178,NA,0.08,0.689,0.043,0.012,NA,NA,NA,NA,NA,0.933,NA,NA,NA,0.014,0.003,1903
SS-6.0-42_CCOB_LIVINGSTON_01_OG_20190718_20190725,CCOB_LIVINGSTON_01_OG,2019-07-18,2019-07-25,drilling,neoflow,15.253,0.47,7.145,0.133,1.17,3.139,0.22,0.007,0.032,0.006,0.099,1.222,1.218,0.004,0.018,0.007,0.61,0.106,0.03,0.281,0.149,0.211,0.092,0.038,0.135,0.066,0.463,0.011,0.402,0.116,0.092,0.328,0.036,0.192,NA,0.073,0.481,0.037,0.012,NA,NA,NA,NA,NA,0.764,NA,NA,NA,0.002,0.012,2004
SS-6.0-05_CCOB_LIVINGSTON_02_OG_20190725_20190801,CCOB_LIVINGSTON_02_OG,2019-07-25,2019-08-01,drilling,neoflow,15.677,0.458,8.294,0.119,1.437,3.821,0.24,0.008,0.025,0.006,0.118,1.462,1.462,0.004,0.018,0.007,0.738,0.072,0.035,0.376,0.168,0.286,0.145,0.066,0.186,0.098,0.525,0.011,0.431,0.151,0.1,0.467,0.043,0.227,NA,0.079,0.859,0.056,0.012,NA,NA,NA,NA,NA,1.49,NA,NA,NA,0.002,0.047,1892
SS-6.0-25_CCOB_LIVINGSTON_01_OG_20190725_20190801,CCOB_LIVINGSTON_01_OG,2019-07-25,2019-08-01,drilling,neoflow,8.698,0.736,5.132,0.211,0.999,2.626,0.299,0.031,0.19,0.027,0.094,1.154,1.08,0.004,0.018,0.007,0.497,0.082,0.032,0.262,0.203,0.215,0.117,0.063,0.118,0.075,0.408,0.011,0.487,0.117,0.079,0.343,0.045,0.204,NA,0.08,0.595,0.041,0.012,NA,NA,NA,NA,NA,0.881,NA,NA,NA,0.003,0.024,1837
SS-6.0-41_CCOB_LIVINGSTON_02_OG_20190801_20190808,CCOB_LIVINGSTON_02_OG,2019-08-01,2019-08-08,drilling,neoflow,21.676,0.614,12.55,0.157,2.497,6.376,0.299,0.009,0.054,0.013,0.163,2.319,2.39,0.004,0.018,0.007,1.038,0.06,0.056,0.399,0.207,0.264,0.137,0.031,0.129,0.073,0.409,0.011,0.453,0.111,0.09,0.31,0.039,0.178,NA,0.054,0.349,0.024,0.012,NA,NA,NA,NA,NA,0.535,0.078,0.087,NA,0.024,0.002,1934
SS-6.0-51_CCOB_LIVINGSTON_01_OG_20190801_20190808,CCOB_LIVINGSTON_01_OG,2019-08-01,2019-08-08,drilling,neoflow,12.561,0.456,7.168,0.135,1.228,3.337,0.232,0.003,0.027,0.006,0.102,1.23,1.315,0.004,0.018,0.007,0.671,0.066,0.033,0.35,0.164,0.258,0.139,0.066,0.089,0.096,0.362,0.011,0.366,0.138,0.093,0.397,0.042,0.19,NA,0.068,0.616,0.039,0.012,NA,NA,NA,NA,NA,0.986,0.078,0.011,NA,0.013,0.002,1928
SS-6.0-26_CCOB_LIVINGSTON_02_OG_20190808_20190815,CCOB_LIVINGSTON_02_OG,2019-08-08,2019-08-15,drilling,neoflow,22.072,0.608,13.302,0.17,2.309,6.666,0.314,0.006,0.043,0.006,0.233,2.32,2.897,0.013,0.069,0.007,1.523,0.05,0.063,0.854,0.278,0.559,0.286,0.125,0.203,0.163,0.772,0.011,0.672,0.27,0.158,0.748,0.17,0.852,NA,0.175,1.017,0.063,0.012,NA,NA,NA,NA,NA,1.582,0.191,0.011,NA,0.018,0.003,1934
SS-6.0-47_CCOB_LIVINGSTON_01_OG_20190808_20190815,CCOB_LIVINGSTON_01_OG,2019-08-08,2019-08-15,drilling,neoflow,21.575,0.471,12.598,0.154,2.141,6.229,0.27,0.003,0.029,0.006,0.246,2.184,2.842,0.004,0.018,0.007,1.784,0.05,0.068,1.104,0.332,0.71,0.358,0.141,0.253,0.214,1.07,0.011,0.852,0.371,0.227,0.981,0.082,0.484,NA,0.167,1.235,0.08,0.012,NA,NA,NA,NA,NA,1.969,0.193,0.011,NA,0.038,0.003,1928
SS-6.0-05_CCOB_LIVINGSTON_02_OG_20190815_20190822,CCOB_LIVINGSTON_02_OG,2019-08-15,2019-08-22,drilling,neoflow,16.574,0.566,9.01,0.134,1.562,4.361,0.265,0.009,0.046,0.013,0.141,1.503,1.762,0.004,0.018,0.33,0.919,0.074,0.04,0.54,0.243,0.348,0.179,0.087,0.264,0.091,0.59,0.011,0.514,0.188,0.149,0.513,0.068,0.294,NA,0.098,0.626,0.046,0.012,0.175,NA,0.269,0.009,0.486,0.909,0.078,0.011,NA,0.015,0.002,1934
SS-6.0-53_CCOB_LIVINGSTON_01_OG_20190815_20190822,CCOB_LIVINGSTON_01_OG,2019-08-15,2019-08-22,drilling,neoflow,16.044,0.422,9.279,0.112,1.68,5.038,0.265,0.025,0.035,0.02,0.199,1.881,2.374,0.004,0.018,0.007,1.294,0.07,0.051,0.741,0.249,0.511,0.261,0.122,0.307,0.129,0.901,0.025,0.653,0.278,0.22,0.743,0.071,0.41,NA,0.145,0.85,0.059,0.012,0.215,NA,0.365,0.009,0.254,1.188,0.172,0.011,NA,0.013,0.001,1928
SS-6.0-34_CCOB_LIVINGSTON_02_OG_20190822_20190829,CCOB_LIVINGSTON_02_OG,2019-08-22,2019-08-29,drilling,neoflow,41.145,0.479,20.973,0.151,3.457,9.07,0.283,0.011,0.041,0.014,0.251,2.899,3.21,0.004,0.018,0.007,1.556,0.075,0.067,0.902,0.28,0.832,0.317,0.094,0.391,0.19,1.313,0.011,0.713,0.32,0.249,0.943,0.127,0.528,NA,0.204,1.261,0.104,0.032,0.372,0.148,0.699,0.009,0.184,2.024,0.252,0.011,NA,0.015,0.004,2082
SS-6.0-24_CCOB_LIVINGSTON_01_OG_20190822_20190829,CCOB_LIVINGSTON_01_OG,2019-08-22,2019-08-29,drilling,neoflow,13.821,0.384,7.868,0.102,1.421,3.926,0.262,0.01,0.021,0.006,0.149,1.503,1.671,0.004,0.018,0.007,1.188,0.116,0.07,0.591,0.24,0.461,0.21,0.083,0.285,0.119,0.867,0.092,0.562,0.261,0.173,0.709,0.08,0.325,NA,0.142,0.978,0.069,0.012,0.251,0.105,0.439,0.009,0.231,1.467,0.185,0.011,NA,0.012,0.005,2126
SS-6.0-09_CCOB_LIVINGSTON_02_OG_20190829_20190912,CCOB_LIVINGSTON_02_OG,2019-08-29,2019-09-05,drilling,neoflow,18.03,0.493,11.77,0.167,2.166,6.476,0.262,0.012,0.044,0.006,0.245,2.216,2.843,0.004,0.018,0.007,1.602,0.069,0.059,0.889,0.301,0.63,0.314,0.128,0.353,0.183,1.031,0.011,0.675,0.31,0.223,0.795,0.097,0.391,NA,0.13,1.015,0.071,0.012,0.292,0.118,0.546,0.009,0.287,1.635,0.203,0.011,NA,0.014,0.002,1856
SS-6.0-40_CCOB_LIVINGSTON_01_OG_20190829_20190912,CCOB_LIVINGSTON_01_OG,2019-08-29,2019-09-05,drilling,neoflow,17.13,0.434,10.21,0.167,1.774,5.234,0.233,0.019,0.065,0.016,0.235,1.852,2.471,0.004,0.018,0.007,1.634,0.065,0.065,1.026,0.324,1.039,0.404,0.13,0.408,0.134,1.292,0.011,0.894,0.397,0.293,1.117,0.111,1.165,NA,0.171,1.47,0.136,0.012,0.363,0.13,0.649,0.044,0.275,2.276,0.21,0.011,NA,0.018,0.002,1969
SS-6.0-21_CCOB_LIVINGSTON_02_OG_20190912_20190919,CCOB_LIVINGSTON_02_OG,2019-09-12,2019-09-19,drilling,neoflow,21.775,0.603,10.372,0.178,1.74,4.649,0.334,0.009,0.033,0.012,0.168,1.746,1.878,0.004,0.018,0.007,1.173,0.052,0.048,0.732,0.28,0.506,0.253,0.102,0.35,0.164,1.021,0.011,0.718,0.307,0.213,0.8,0.128,0.511,0.02,0.201,1.09,0.077,0.012,0.077,0.015,0.042,0.009,0.121,1.73,0.078,0.011,0.014,0.023,0.001,2061
SS-6.0-05_CCOB_LIVINGSTON_01_OG_20190912_20190919,CCOB_LIVINGSTON_01_OG,2019-09-12,2019-09-19,drilling,neoflow,21.324,0.556,11.901,0.192,2.127,5.937,0.326,0.014,0.043,0.012,0.247,2.274,2.627,0.004,0.018,0.007,1.749,0.042,0.079,1.23,0.384,0.84,0.419,0.154,0.54,0.278,1.779,0.011,1.098,0.544,0.358,1.409,0.202,0.852,0.03,0.318,1.923,0.13,0.038,0.137,0.041,0.076,0.032,0.227,3.481,0.078,0.011,0.02,0.032,0.002,2068
