Sample ID,Sampling Site,Start Date Time,Stop Date Time,Phase,Mud,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cycopentane,i-Pentane,n-Pentane,trans-2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
SS-6.0-15_CCOB_NWPKWY_01_OG_20191121_20191128,CCOB_NWPKWY_01_OG,2019-11-21,2019-11-28,drilling,neoflow,17.636,1.058,8.961,0.16,1.527,3.968,0.751,0.011,0.023,0.006,0.113,1.224,1.304,0.004,0.018,0.007,0.649,0.015,0.032,0.38,0.226,0.288,0.162,0.066,0.199,0.081,0.473,0.011,0.413,0.125,0.103,0.351,0.069,0.232,0.008,0.083,0.575,0.044,0.012,0.032,0.015,0.016,0.009,0.058,1.362,0.078,0.011,0.007,0.029,0.002,1983
SS-6.0-55_CCOB_NWPKWY_02_OG_20191128_20191205,CCOB_NWPKWY_02_OG,2019-11-28,2019-12-05,drilling,neoflow,40.106,1.737,20.149,0.292,3.506,9.391,1.268,0.038,0.053,0.022,0.264,2.735,3.154,0.004,0.018,0.007,1.484,0.005,0.068,0.776,0.414,0.58,0.3,0.128,0.405,0.174,0.869,0.011,0.742,0.275,0.221,0.783,0.102,0.355,0.019,0.187,1.282,0.089,0.012,0.062,0.015,0.027,0.019,0.09,2.25,0.078,0.011,0.007,0.058,0.004,2197
SS-6.0-42_CCOB_NWPKWY_01_OG_20191128_20191205,CCOB_NWPKWY_01_OG,2019-11-28,2019-12-05,drilling,neoflow,36.045,1.668,17.516,0.255,3.088,8.093,1.24,0.021,0.038,0.016,0.198,2.325,2.46,0.004,0.018,0.007,1.014,0.008,0.051,0.38,0.33,0.32,0.18,0.082,0.256,0.119,0.486,0.026,0.557,0.157,0.1,0.323,0.08,0.236,0.008,0.093,0.318,0.03,0.012,0.025,0.015,0.011,0.009,0.042,0.492,0.078,0.011,0.007,0.029,0.006,2267
SS-6.0-53_CCOB_NWPKWY_01_OG_20191205_20191212,CCOB_NWPKWY_01_OG,2019-12-05,2019-12-12,drilling,neoflow,38.385,1.504,21.479,0.257,3.737,10.031,1.357,0.016,0.046,0.017,0.275,2.899,3.405,0.004,0.018,0.007,1.551,0.002,0.066,0.633,0.331,0.522,0.261,0.125,0.356,0.143,0.721,0.022,0.667,0.184,0.109,0.452,0.085,0.251,0.008,0.099,0.572,0.042,0.012,0.041,0.015,0.016,0.009,0.057,0.949,0.078,0.011,0.007,0.032,0.006,2098
SS-6.0-36_CCOB_NWPKWY_02_OG_20191212_20191219,CCOB_NWPKWY_02_OG,2019-12-12,2019-12-19,drilling,neoflow,39.973,1.453,21.133,0.246,3.599,10.211,1.396,0.017,0.032,0.021,0.319,3.023,3.842,0.004,0.018,0.007,1.961,0.004,0.078,0.919,0.494,0.711,0.346,0.147,0.44,0.205,1.09,0.011,0.784,0.265,0.151,0.613,0.095,0.373,0.008,0.122,0.539,0.041,0.025,0.037,0.015,0.017,0.009,0.056,0.764,0.078,0.011,0.007,0.022,0.005,2203
SS-6.0-22_CCOB_NWPKWY_01_OG_20191212_20191219,CCOB_NWPKWY_01_OG,2019-12-12,2019-12-19,drilling,neoflow,20.36,1.475,10.628,0.235,1.89,5.131,1.548,0.021,0.034,0.017,0.156,1.572,1.748,0.008,0.018,0.007,0.935,0.002,0.048,0.451,0.305,0.339,0.173,0.072,0.228,0.109,0.507,0.011,0.525,0.136,0.077,0.309,0.071,0.248,0.008,0.08,0.27,0.026,0.012,0.023,0.015,0.005,0.009,0.038,0.383,0.078,0.011,0.007,NA,NA,2037
SS-6.0-26_CCOB_NWPKWY_01_OG_20191219_20191226,CCOB_NWPKWY_01_OG,2019-12-19,2019-12-26,drilling,neoflow,23.263,1.43,10.49,0.236,1.917,5.07,1.2,0.015,0.038,0.015,0.133,1.586,1.581,0.004,0.018,0.007,0.733,0.005,0.043,0.306,0.27,0.242,0.144,0.06,0.202,0.104,0.395,0.04,0.545,0.142,0.091,0.26,0.067,0.196,0.008,0.076,0.287,0.026,0.012,0.026,0.015,0.011,0.009,0.044,0.436,0.078,0.011,0.007,0.029,0.003,1973
SS-6.0-40_CCOB_NWPKWY_02_OG_20191226_20200102,CCOB_NWPKWY_02_OG,2019-12-26,2020-01-02,drilling,neoflow,52.429,1.333,25.293,0.307,4.658,12.719,1.221,0.032,0.068,0.034,0.46,4.342,5.092,0.009,0.018,0.007,2.873,0.01,0.107,1.836,0.686,1.438,0.715,0.244,0.784,0.379,2.693,0.023,1.603,0.689,0.479,1.735,0.247,0.879,0.008,0.332,2.04,0.163,0.038,0.096,0.015,0.054,0.022,0.149,3.133,0.078,0.011,0.016,0.028,0.003,2290
SS-6.0-41_CCOB_NWPKWY_01_OG_20191226_20200102,CCOB_NWPKWY_01_OG,2019-12-26,2020-01-02,drilling,neoflow,15.598,1.039,7.198,0.173,1.383,3.5,1.232,0.02,0.028,0.006,0.09,1.07,1.062,0.004,0.018,0.007,0.444,0.002,0.032,0.202,0.224,0.359,0.142,0.062,0.178,0.062,0.267,0.03,0.359,0.097,0.089,0.163,0.054,0.252,0.008,0.066,0.178,0.009,0.012,0.016,0.015,0.005,0.009,0.026,0.275,0.078,0.011,0.007,0.016,0.003,2016
SS-6.0-20 _CCOB_NWPKWY_01_OG_20200102_20200109,CCOB_NWPKWY_01_OG,2020-01-02,2020-01-09,drilling,neoflow,11.411,0.597,5.62,0.109,1.011,2.708,1.001,0.013,0.021,0.006,0.083,0.818,0.893,0.004,0.018,0.007,0.451,0.002,0.025,0.222,0.143,0.176,0.094,0.032,0.101,0.057,0.268,0.011,0.255,0.081,0.067,0.233,0.04,0.141,0.008,0.057,0.295,0.019,0.012,0.017,0.015,0.005,0.009,0.027,0.435,0.078,0.011,0.007,0.014,0.002,1947
SS-6.0-03_CCOB_NWPKWY_01_OG_20200109_20200116,CCOB_NWPKWY_01_OG,2020-01-09,2020-01-16,drilling,neoflow,14.6,0.925,7.112,0.142,1.259,3.152,1.032,0.014,0.016,0.006,0.084,0.945,0.973,0.004,0.018,0.007,0.374,0.002,0.012,0.166,0.177,0.128,0.067,0.04,0.093,0.06,0.183,0.011,0.229,0.047,0.029,0.091,0.036,0.107,0.008,0.035,0.099,0.009,0.012,0.013,0.015,0.005,0.009,0.019,0.181,0.078,0.011,0.007,0.031,0.005,2116
