Sample ID,Sampling Site,Start Date Time,Stop Date Time,Phase,Mud,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cycopentane,i-Pentane,n-Pentane,trans-2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
SS_6.0_02_CCOB_NWPKWY_03_OG_20210916_20210923,CCOB_NWPKWY_03_OG,2021-09-16,2021-09-23,drilling,neoflow,13.551,0.68,9.627,0.094,1.749,5.736,0.275,0.013,0.017,0.006,0.331,2.343,3.379,0.004,0.018,0.007,2.114,0.023,0.081,1.457,0.436,0.945,0.489,0.174,0.33,0.083,1.287,0.038,0.964,0.485,0.275,0.922,0.121,0.572,0.008,0.242,1.195,0.009,0.03,0.08,0.015,0.042,0.023,0.125,2.145,0.078,0.011,0.007,0.001,0.012,2142
SS_6.0_19_CCOB_NWPKWY_02_OG_20210916_20210923,CCOB_NWPKWY_02_OG,2021-09-16,2021-09-23,drilling,neoflow,31.742,0.602,22.934,0.116,4.174,13.19,0.288,0.008,0.023,0.006,0.614,4.681,7.003,0.004,0.018,0.007,4.028,0.039,0.178,2.716,0.732,1.892,0.93,0.321,0.929,0.12,2.386,0.04,1.674,0.737,0.42,1.676,0.139,0.825,0.019,0.323,1.605,0.026,0.051,0.121,0.048,0.065,0.037,0.2,2.424,0.078,0.011,0.033,0.001,0.034,2033
SS_6.0_23_CCOB_NWPKWY_03_OG_20210923_20210930,CCOB_NWPKWY_03_OG,2021-09-23,2021-09-30,drilling,neoflow,26.222,0.655,15.815,0.182,2.353,6.482,0.356,0.012,0.034,0.006,0.246,2.373,2.662,0.004,0.018,0.007,1.582,0.023,0.066,1.101,0.363,0.693,0.387,0.144,0.283,0.096,1.262,0.011,0.901,0.401,0.255,1.085,0.111,0.618,0.008,0.262,1.351,0.009,0.034,0.102,0.036,0.061,0.03,0.172,2.87,0.078,0.011,0.026,0.002,0.04,2075
SS_6.0_25_CCOB_NWPKWY_03_OG_20210930_20211007,CCOB_NWPKWY_03_OG,2021-09-30,2021-10-07,drilling,neoflow,34.244,0.712,24.655,0.193,3.811,11.822,0.416,0.009,0.029,0.006,0.497,4.047,5.552,0.004,0.018,0.007,3.306,0.012,0.123,1.958,0.633,1.301,0.632,0.237,0.524,0.2,2.023,0.038,1.438,0.565,0.318,1.334,0.158,1.014,0.021,0.457,1.236,0.03,0.058,0.147,0.063,0.095,0.053,0.274,2.727,0.078,0.011,0.04,0.003,0.058,2095
SS_6.0_48_CCOB_NWPKWY_03_OG_20211007_20211014,CCOB_NWPKWY_03_OG,2021-10-07,2021-10-14,drilling,neoflow,22.134,0.532,14.886,0.119,2.714,8.816,0.344,0.009,0.021,0.006,0.425,3.229,4.669,0.004,0.018,0.007,2.986,0.002,0.114,1.564,0.47,1.094,0.563,0.202,0.523,0.168,1.495,0.011,1.087,0.503,0.296,1.054,0.109,0.686,0.008,0.274,0.595,0.009,0.033,0.078,0.015,0.045,0.027,0.136,0.934,0.078,0.011,0.017,0.002,0.027,2046
SS_6.0_16_CCOB_NWPKWY_03_OG_20211118_20211125,CCOB_NWPKWY_03_OG,2021-11-18,2021-11-25,pre,NA,11.455,1.177,4.843,0.186,0.813,2.128,0.623,0.01,0.023,0.006,0.059,0.745,0.675,0.004,0.018,0.007,0.253,0.002,0.025,0.115,0.157,0.099,0.076,0.033,0.066,0.051,0.089,0.011,0.283,0.014,0.012,0.062,0.041,0.123,0.008,0.033,0.03,0.009,0.012,0.015,0.015,0.005,0.009,0.025,0.053,0.078,0.011,0.007,0.004,0.038,2454
SS_6.0_44_CCOB_NWPKWY_03_OG_20211125_20211202,CCOB_NWPKWY_03_OG,2021-11-25,2021-12-02,pre,NA,10.102,0.778,4.893,0.123,0.89,2.54,0.42,0.008,0.021,0.006,0.102,0.905,1.043,0.004,0.018,0.007,0.555,0.002,0.029,0.3,0.149,0.233,0.117,0.052,0.095,0.078,0.286,0.011,0.353,0.074,0.042,0.193,0.043,0.195,0.008,0.064,0.099,0.009,0.012,0.019,0.015,0.005,0.009,0.027,0.12,0.078,0.011,0.007,0.003,0.043,2003
SS_6.0_02_CCOB_NWPKWY_03_OG_20211202_20211209,CCOB_NWPKWY_03_OG,2021-12-02,2021-12-09,pre,NA,43.292,1.143,23.406,0.174,3.816,10.737,0.597,0.014,0.029,0.018,0.283,3.124,3.918,0.004,0.018,0.007,1.697,0.002,0.062,0.712,0.318,0.566,0.287,0.119,0.259,0.113,0.697,0.011,0.548,0.178,0.092,0.396,0.081,0.318,0.008,0.11,0.179,0.009,0.012,0.033,0.015,0.018,0.009,0.059,0.209,0.078,0.011,0.007,0.004,0.028,2173
SS_6.0_62_CCOB_NWPKWY_03_OG_20211209,CCOB_NWPKWY_03_OG,2021-12-09,2021-12-16,pre,NA,10.908,1.008,5.927,0.196,1.09,2.972,0.614,0.014,0.026,0.012,0.087,0.982,1.044,0.004,0.018,0.007,0.517,0.006,0.036,0.261,0.166,0.177,0.113,0.054,0.094,0.066,0.247,0.011,0.337,0.051,0.043,0.159,0.04,0.18,0.008,0.068,0.084,0.009,0.012,0.019,0.015,0.01,0.009,0.035,0.087,0.078,0.011,0.007,0.003,0.036,2048
SS_6.0_24_CCOB_NWPKWY_03_OG_20220310_20220317,CCOB_NWPKWY_03_OG,2022-03-10,2022-03-17,pre,NA,12.097,0.884,5.811,0.15,0.936,2.485,0.619,0.011,0.023,0.006,0.068,0.762,0.796,0.004,0.018,0.007,0.357,0.004,0.012,0.168,0.196,0.119,0.07,0.038,0.055,0.047,0.165,0.011,0.259,0.044,0.023,0.102,0.023,0.188,0.008,0.066,0.089,0.009,0.012,0.022,0.015,0.014,0.009,0.045,0.149,0.078,0.011,0.007,0.004,0.019,2011
