Sample ID,Sampling Site,Start Date Time,Stop Date Time,Phase,Mud,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cycopentane,i-Pentane,n-Pentane,trans-2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
SS_6.0_42_CCOB_UNITED_01_OG_20211014_20211021,CCOB_UNITED_01_OG,2021-10-14,2021-10-21,drilling,neoflow,15.389,0.839,9.527,0.245,1.488,4.492,0.458,0.018,0.047,0.013,0.203,1.663,2.125,0.004,0.018,0.007,1.436,0.01,0.059,0.976,0.342,0.669,0.28,0.101,0.255,0.095,1.013,0.023,0.78,0.349,0.225,0.832,0.094,0.623,0.008,0.258,0.615,0.009,0.036,0.09,0.038,0.053,0.031,0.17,1.447,0.078,0.011,0.027,0.002,0.02,2025
SS_6.0_57_CCOB_UNITED_02_OG_20211014_20211021,CCOB_UNITED_02_OG,2021-10-14,2021-10-21,drilling,neoflow,17.019,0.886,10.974,0.218,1.733,5.1,0.518,0.023,0.035,0.012,0.212,1.812,2.284,0.004,0.018,0.007,1.569,0.008,0.075,1.01,0.348,0.586,0.324,0.127,0.332,0.108,1.001,0.034,1.212,0.353,0.194,0.819,0.122,0.637,0.008,0.273,0.619,0.009,0.037,0.091,0.035,0.051,0.035,0.168,1.38,0.078,0.011,0.027,0.002,0.035,2056
SS_6.0_35_CCOB_UNITED_02_OG_20211021_20211028,CCOB_UNITED_02_OG,2021-10-21,2021-10-28,drilling,neoflow,21.926,1.052,14.247,0.227,2.052,5.812,0.559,0.016,0.039,0.013,0.213,2.095,2.264,0.004,0.018,0.007,1.344,0.028,0.064,0.789,0.308,0.505,0.263,0.114,0.253,0.156,0.964,0.011,0.808,0.257,0.16,0.66,0.106,0.563,0.008,0.238,0.595,0.009,0.033,0.098,0.035,0.057,0.033,0.185,2.21,0.078,0.011,0.029,0.003,0.041,2146
SS_6.0_58_CCOB_UNITED_02_OG_20211028_20211104,CCOB_UNITED_02_OG,2021-10-28,2021-11-04,drilling,neoflow,12.285,0.938,7.499,0.168,0.889,2.417,0.465,0.012,0.024,0.013,0.079,0.864,0.91,0.004,0.018,0.007,0.476,0.006,0.025,0.194,0.147,0.176,0.107,0.045,0.073,0.045,0.242,0.011,0.345,0.073,0.046,0.193,0.058,0.222,0.008,0.067,0.16,0.009,0.012,0.034,0.015,0.016,0.009,0.058,0.556,0.078,0.011,0.007,0.002,0.016,2038
SS_6.0_33_CCOB_UNITED_02_OG_20211104_20211111,CCOB_UNITED_02_OG,2021-11-04,2021-11-11,drilling,neoflow,60.315,3.128,17.736,0.343,1.897,5.134,0.6,0.017,0.04,0.019,0.183,1.73,1.973,0.004,0.018,0.007,0.885,0.006,0.057,0.594,0.287,0.403,0.216,0.091,0.194,0.081,0.701,0.011,0.605,0.195,0.134,0.47,0.072,0.431,0.008,0.161,0.414,0.009,0.027,0.077,0.015,0.046,0.03,0.144,2.29,0.078,0.011,0.027,0.004,0.044,2344
SS_6.0_17_CCOB_UNITED_02_OG_20211111_20211118,CCOB_UNITED_02_OG,2021-11-11,2021-11-18,drilling,neoflow,24.931,2.407,6.288,0.251,0.556,1.338,0.463,0.017,0.023,0.015,0.032,0.474,0.41,0.004,0.018,0.007,0.196,0.005,0.012,0.067,0.136,0.06,0.046,0.03,0.035,0.012,0.058,0.011,0.217,0.014,0.005,0.029,0.022,0.045,0.008,0.011,0.011,0.009,0.012,0.003,0.015,0.005,0.009,0.005,0.013,0.078,0.011,0.007,0.002,0.026,2054
SS_6.0_33_CCOB_UNITED_01_OG_20211118_20211125,CCOB_UNITED_01_OG,2021-11-18,2021-11-25,drilling,neoflow,14.634,1.328,5.442,0.174,0.879,2.276,0.669,0.012,0.025,0.012,0.065,0.77,0.725,0.004,0.018,0.007,0.291,0.006,0.028,0.131,0.146,0.116,0.077,0.036,0.06,0.035,0.132,0.011,0.294,0.041,0.022,0.085,0.033,0.142,0.008,0.045,0.048,0.009,0.012,0.022,0.015,0.005,0.009,0.042,0.13,0.078,0.011,0.007,0.004,0.055,2496
SS_6.0_40_CCOB_UNITED_02_OG_20211118_20211125,CCOB_UNITED_02_OG,2021-11-18,2021-11-25,drilling,neoflow,45.98,3.543,10.779,0.361,1.136,2.785,1.006,0.02,0.047,0.017,0.082,0.928,0.931,0.004,0.018,0.007,0.431,0.004,0.031,0.271,0.178,0.167,0.119,0.058,0.074,0.047,0.284,0.011,0.415,0.083,0.048,0.191,0.071,0.227,0.008,0.074,0.111,0.009,0.012,0.035,0.015,0.016,0.009,0.055,0.329,0.078,0.011,0.007,0.004,0.078,2716
SS_6.0_50_CCOB_UNITED_02_OG_20211125_20211202,CCOB_UNITED_02_OG,2021-11-25,2021-12-02,drilling,neoflow,16.598,1.044,16.09,0.172,1.375,3.82,0.489,0.017,0.027,0.013,0.154,1.32,1.58,0.008,0.018,0.007,0.921,0.007,0.044,0.546,0.233,0.366,0.191,0.096,0.143,0.083,0.535,0.011,0.535,0.175,0.098,0.39,0.07,0.364,0.008,0.173,0.297,0.009,0.012,0.056,0.015,0.028,0.019,0.099,1.119,0.078,0.011,0.018,0.003,0.051,2029
SS_6.0_15_CCOB_UNITED_02_OG_20211202_20211209,CCOB_UNITED_02_OG,2021-12-02,2021-12-09,drilling,neoflow,45.842,3.045,19.594,0.34,2.602,7.529,0.795,0.018,0.042,0.019,0.278,2.483,3.215,0.004,0.018,0.007,1.863,0.007,0.081,1.116,0.39,0.702,0.368,0.137,0.321,0.151,1.138,0.03,0.837,0.354,0.203,0.803,0.114,0.624,0.008,0.256,0.49,0.009,0.034,0.083,0.033,0.046,0.032,0.155,0.93,0.078,0.011,0.019,0.004,0.022,2268
SS_6.0_47_CCOB_UNITED_02_OG_20211209,CCOB_UNITED_02_OG,2021-12-09,2021-12-16,drilling,neoflow,17.943,1.414,10.331,0.216,1.708,4.688,0.691,0.014,0.031,0.015,0.156,1.592,1.762,0.004,0.018,0.007,0.921,0.005,0.044,0.466,0.231,0.365,0.191,0.079,0.178,0.089,0.584,0.011,0.473,0.144,0.072,0.351,0.052,0.331,0.008,0.122,0.25,0.009,0.012,0.042,0.015,0.027,0.009,0.084,0.636,0.078,0.011,0.007,0.003,0.028,2088
SS_6.0_55_CCOB_UNITED_01_OG_20211216_20211223,CCOB_UNITED_01_OG,2021-12-16,2021-12-23,drilling,neoflow,16.047,1.147,8.184,0.181,1.412,3.882,0.801,0.015,0.024,0.006,0.123,1.292,1.476,0.004,0.018,0.007,0.838,0.004,0.038,0.39,0.246,0.275,0.142,0.059,0.109,0.1,0.386,0.011,0.397,0.112,0.066,0.241,0.044,0.194,0.008,0.066,0.133,0.009,0.012,0.025,0.015,0.012,0.009,0.036,0.244,0.078,0.011,0.007,0.003,0.016,2049
SS_6.0_19_CCOB_UNITED_02_OG_20211216_20211223,CCOB_UNITED_02_OG,2021-12-16,2021-12-23,drilling,neoflow,17.475,1.202,10.095,0.22,1.717,4.842,0.752,0.021,0.039,0.016,0.184,1.677,1.991,0.004,0.018,0.007,1.211,0.007,0.049,0.622,0.262,0.452,0.225,0.096,0.19,0.152,0.707,0.026,0.586,0.212,0.141,0.505,0.078,0.434,0.008,0.207,0.402,0.009,0.026,0.074,0.015,0.041,0.024,0.127,1.118,0.078,0.011,0.017,0.003,0.023,2077
SS_6.0_58_CCOB_UNITED_02_OG_20211223_20211230,CCOB_UNITED_02_OG,2021-12-23,2021-12-30,drilling,neoflow,16.322,0.913,10.378,0.359,1.611,4.553,0.579,0.015,0.033,0.017,0.206,1.724,2.076,0.004,0.018,0.007,1.388,0.004,0.068,0.943,0.318,0.569,0.297,0.123,0.216,0.196,1.043,0.011,0.637,0.262,0.153,0.581,0.081,0.443,0.008,0.201,0.375,0.009,0.012,0.061,0.015,0.039,0.022,0.112,1,0.078,0.011,0.017,0.002,0.031,2036
SS_6.0_01_CCOB_UNITED_02_OG_20211230_20220106,CCOB_UNITED_02_OG,2021-12-30,2022-01-06,drilling,neoflow,20.034,1.643,12.656,0.275,2.274,6.74,0.972,0.013,0.04,0.006,0.166,2.2,2.473,0.004,0.018,0.007,0.942,0.006,0.047,0.371,0.318,0.309,0.156,0.073,0.121,0.102,0.392,0.011,0.471,0.121,0.085,0.264,0.057,0.24,0.008,0.122,0.173,0.009,0.012,0.038,0.015,0.019,0.009,0.069,0.485,0.078,0.011,0.007,0.002,0.021,2101
SS_6.0_42_CCOB_UNITED_02_OG_20220224_20220303,CCOB_UNITED_02_OG,2022-02-24,2022-03-03,pre,NA,64.785,2.978,18.144,0.292,2.085,4.943,1.13,0.02,0.039,0.014,0.106,1.45,1.381,0.004,0.018,0.007,0.525,0.004,0.03,0.201,0.223,0.148,0.099,0.053,0.075,0.059,0.162,0.011,0.355,0.049,0.034,0.093,0.038,0.158,0.008,0.046,0.055,0.009,0.012,0.026,0.015,0.011,0.009,0.037,0.078,0.078,0.011,0.007,0.002,0.043,2407
