"","Sample.ID","Sampling.Site","Start.Date.Time","Stop.Date.Time","Phase","Mud","Ethane","Ethene","Propane","Propene","i.Butane","n.Butane","Ethyne","trans.2.Butene","X1.Butene","cis.2.Butene","Cycopentane","i.Pentane","n.Pentane","trans.2.Pentene","X1.Pentene","cis.2.Pentene","n.Hexane","Isoprene","X2.4.Dimethylpentane","n.Heptane","Benzene","Cyclohexane","X2.3.Dimethylpentane","X2.Methylhexane","X3.Methylhexane","X2.2.4.Trimethylpentane","Methylcyclohexane","X2.3.4.Trimethylpentane","Toluene","X2.Methylheptane","X3.Methylheptane","n.Octane","Ethylbenzene","m..and.p.Xylene","Styrene","o.Xylene","n.Nonane","i.Propylbenzene","n.Propylbenzene","X3.Ethyltoluene","X4.Ethyltoluene","X1.3.5.Trimethylbenzene","X2.Ethyltoluene","X1.2.4.Trimethylbenzene","n.Decane","X1.2.3.Trimethylbenzene","X1.3.Diethylbenzene","X1.4.Diethylbenzene","C2HCl3","C2Cl4","Methane","Ozone"
"1","SS-6.0-23_CCOB_ANTHEM_01_IMPACT_20190711_20190718","Anthem",2019-07-11,2019-07-18,"drilling","neoflow",9.529,0.471,5.395,0.112,0.94,2.613,0.28,0.003,0.031,0.006,0.112,1.152,1.142,0.004,0.018,0.007,0.649,0.126,0.032,0.352,0.177,0.252,0.143,0.059,0.187,0.093,0.355,0.011,0.406,0.145,0.108,0.408,0.043,0.188,NA,0.071,0.621,0.038,0.012,NA,NA,NA,NA,NA,0.834,NA,NA,NA,0.015,0.003,1858,57.00545
"2","SS-6.0-45_CCOB_ANTHEM_01_IMPACT_20190718_20190725","Anthem",2019-07-18,2019-07-25,"drilling","neoflow",10.583,0.214,4.606,0.07,0.728,1.856,0.104,0.007,0.016,0.006,0.063,0.694,0.687,0.004,0.018,0.007,0.427,0.058,0.012,0.217,0.083,0.158,0.082,0.034,0.091,0.046,0.278,0.011,0.208,0.078,0.062,0.2,0.024,0.098,NA,0.035,0.291,0.009,0.012,NA,NA,NA,NA,NA,0.402,NA,NA,NA,0.001,0.005,1899,62.44425
"3","SS-6.0-03_CCOB_ANTHEM_01_IMPACT_20190725_20190801","Anthem",2019-07-25,2019-08-01,"drilling","neoflow",11.256,0.468,5.959,0.139,1.015,2.69,0.245,0.008,0.031,0.012,0.088,1.099,1.048,0.004,0.018,0.007,0.537,0.084,0.03,0.311,0.141,0.231,0.115,0.049,0.149,0.078,0.473,0.011,0.402,0.143,0.111,0.441,0.046,0.225,NA,0.087,0.83,0.057,0.012,NA,NA,NA,NA,NA,1.475,NA,NA,NA,0.003,0.018,1928,53.482
"4","SS-6.0-43_CCOB_ANTHEM_01_IMPACT_20190801_20190808","Anthem",2019-08-01,2019-08-08,"drilling","neoflow",9.951,0.412,5.982,0.111,1.08,2.92,0.236,0.013,0.027,0.006,0.101,1.167,1.189,0.004,0.018,0.007,0.576,0.066,0.026,0.306,0.148,0.136,0.095,0.03,0.069,0.059,0.306,0.011,0.362,0.103,0.061,0.322,0.045,0.147,NA,0.057,0.418,0.019,0.012,NA,NA,NA,NA,NA,0.678,0.078,NA,NA,0.034,0.002,1931,62.9324
"5","SS-6.0-35_CCOB_ANTHEM_01_IMPACT_20190808_20190815","Anthem",2019-08-08,2019-08-15,"drilling","neoflow",11.599,0.443,6.764,0.106,1.162,3.233,0.244,0.003,0.023,0.006,0.112,1.191,1.353,0.004,0.018,0.007,0.704,0.052,0.033,0.368,0.175,0.252,0.121,0.047,0.108,0.055,0.352,0.011,0.425,0.139,0.096,0.367,0.049,0.196,NA,0.078,0.459,0.035,0.012,NA,NA,NA,NA,NA,0.677,0.078,NA,NA,0.02,0.003,1931,53.92035
"6","SS-6.0-03_CCOB_Anthem01_IMPACT_20190815_20190822","Anthem",2019-08-15,2019-08-22,"drilling","neoflow",10.686,0.436,6.131,0.093,1.089,3.15,0.235,0.012,0.018,0.013,0.128,1.265,1.467,0.004,0.018,0.007,0.856,0.082,0.034,0.53,0.202,0.349,0.204,0.09,0.243,0.093,0.593,0.011,0.513,0.201,0.134,0.5,0.051,0.251,NA,0.087,0.547,0.04,0.012,0.152,NA,0.2,0.009,0.307,0.774,0.078,0.011,NA,0.012,0.002,1931,59.69985
"7","SS-6.0-52_CCOB_Anthem01_IMPACT_20190822_20190829","Anthem",2019-08-22,2019-08-29,"drilling","neoflow",18.17,0.386,10.871,0.121,2.003,5.627,0.246,0.013,0.019,0.006,0.206,2.089,2.329,0.004,0.018,0.007,1.288,0.083,0.056,0.703,0.242,0.555,0.254,0.082,0.323,0.143,0.99,0.011,0.557,0.222,0.177,0.598,0.086,0.356,NA,0.11,0.677,0.049,0.012,0.171,0.043,0.285,0.009,0.283,0.967,0.078,0.011,NA,0.01,0.006,2036,56.2269
"8","SS-6.0-35_CCOB_ANTHEM_01_IMPACT_20190829_20190912","Anthem",2019-08-29,2019-09-05,"drilling","neoflow",14.35,0.404,8.669,0.132,1.436,4.16,0.251,0.007,0.041,0.006,0.162,1.422,1.725,0.004,0.018,0.007,1.001,0.062,0.049,0.641,0.219,0.398,0.191,0.076,0.26,0.117,0.721,0.011,0.569,0.255,0.463,0.712,0.077,0.315,NA,0.123,0.987,0.073,0.012,0.252,0.104,0.511,0.009,0.225,1.406,0.172,0.011,NA,0.015,0.002,1970,57.3384
"9","SS-6.0-36_CCOB_ANTHEM_01_IMPACT_20190912_20190919","Anthem",2019-09-12,2019-09-19,"drilling","neoflow",20.137,0.567,10.691,0.184,1.869,5.218,0.327,0.016,0.031,0.014,0.209,1.973,2.272,0.004,0.018,0.007,1.439,0.052,0.063,1.035,0.288,0.742,0.354,0.114,0.396,0.2,1.396,0.092,0.998,0.516,0.292,1.106,0.17,0.698,0.024,0.246,1.487,0.109,0.031,0.108,0.015,0.058,0.026,0.177,2.687,0.078,0.011,0.02,0.018,0.001,2150,58.55885
"10","SS-6.0-52_CCOB_ANTHEM_01_IMPACT_20190919_20190926","Anthem",2019-09-19,2019-09-26,"drilling","neoflow",9.695,0.435,5.382,0.101,0.905,2.612,0.298,0.009,0.008,0.006,0.102,0.984,1.126,0.004,0.018,0.007,0.631,0.036,0.035,0.339,0.168,0.251,0.124,0.054,0.152,0.091,0.389,0.011,0.402,0.128,0.075,0.329,0.065,0.243,0.008,0.097,0.507,0.046,0.012,0.029,0.015,0.014,0.009,0.051,0.963,0.078,0.011,0.007,0.019,0.002,1908,50.9675
"11","SS-6.0-38_CCOB Anthem01 IMPACT_20190926_20191003","Anthem",2019-09-26,2019-10-03,"drilling","neoflow",9.858,0.337,5.841,0.08,0.969,2.719,0.23,0.012,0.008,0.006,0.086,0.85,0.966,0.004,0.018,0.007,0.49,0.019,0.012,0.229,0.131,0.166,0.089,0.043,0.09,0.043,0.297,0.011,0.248,0.094,0.059,0.245,0.035,0.123,0.008,0.053,0.382,0.038,0.012,0.019,0.015,0.005,0.009,0.029,0.753,0.078,0.011,0.007,0.014,0.002,2004,41.19705
"12","SS-6.0-57_CCOB Anthem01 IMPACT_20191003_20191010","Anthem",2019-10-03,2019-10-10,"drilling","neoflow",16.615,0.609,8.697,0.148,1.483,4.262,0.42,0.012,0.026,0.006,0.157,1.434,1.695,0.004,0.018,0.007,0.945,0.009,0.048,0.494,0.242,0.365,0.184,0.071,0.234,0.114,0.588,0.011,0.503,0.168,0.15,0.433,0.052,0.205,0.008,0.081,0.571,0.043,0.012,0.023,0.015,0.012,0.009,0.04,0.932,0.078,0.011,0.007,0.03,0.003,2010,50.4824
