Sampling.Site,Endpoint,min,p05,p50,p95,max,OBJECTID,GIS_ID,GlobalID,SHAPE_Leng,BUFF_DIST,Shape_Le_1,Shape_Area
Interchange A,cardiovascular,0.209038803333333,0.211595354,0.23460431,0.257613266,0.260169816666667,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,developmental,0.163034465000227,0.163965529161855,0.172345106616503,0.180724684071151,0.181655748232779,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,gastrointestinal,0.00149034047619048,0.00160765142857143,0.00266345,0.00371924857142857,0.00383655952380952,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,hematological,0.00168401528425604,0.00176775125209115,0.00252137496260715,0.00327499867312315,0.00335873464095826,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,hepatic,0.000298982380952381,0.000319361142857143,0.00050277,0.000686178857142857,0.000706557619047619,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,immunological,0.0208489984874644,0.0215908942679093,0.028267956291913,0.0349450183159167,0.0356869140963616,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,neurological,0.304931837105333,0.306433160239716,0.319945068449165,0.333456976658614,0.334958299792997,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,ocular,0.00203255411255411,0.00216802597402597,0.00338727272727273,0.00460651948051948,0.00474199134199134,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,renal,0.000345556988408011,0.000367350934998505,0.00056349645431295,0.000759641973627395,0.000781435920217889,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,reproductive,0.115436488721579,0.116488519311968,0.125956794625466,0.135425069938963,0.136477100529352,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
